영화코드,영화제목,장르,상영시간,등급,개봉일,리뷰1,리뷰2,리뷰3,리뷰4,리뷰5,감성점수,전체리뷰,정제단어문장,최종키워드
23022800,[뮤지컬] 몬테크리스토,"공연, 뮤지컬",132 분,12세이상관람가,2023.04.12,"여주인공이 아름다운데 비해 남주가 나이가 많아 몰입을 방해. 
일사분란한 군무와 합창, 아크로바틱이 인상적이었음. 
그래도 볼 만했던 작품",음악과 내용이 새로웠어요,조아요조아요조아요조아요,재상영한 거라 신선함이 없어요,배우들 목소리 너무 좋아요 ~~아픈 과거는 기억하지마,45.182,"여주인공이 아름다운데 비해 남주가 나이가 많아 몰입을 방해. 
일사분란한 군무와 합창, 아크로바틱이 인상적이었음. 
그래도 볼 만했던 작품 음악과 내용이 새로웠어요 조아요조아요조아요조아요 재상영한 거라 신선함이 없어요 배우들 목소리 너무 좋아요 ~~아픈 과거는 기억하지마",요조 요조 요조 상영 음악 내용 과거 기억 하다 상영 몰입 방해 상영 분란 군무 군무 합창 주인공 방해 분란,"요조, 상영, 분란, 군무, 방해"
23023000,피기,스릴러,99 분,15세이상관람가,2023.04.26,단 하나 뿐인 내 편이 사이코패스,"미성숙한 소녀의 혼란을 비교적 잘 보여주고 있었는데, 급진적인 결말이 아쉽다.",주인공의 입장이 너무나 이해되는 스토리 잘 봤어요,스토리가 맘에든다 ㅎㅎ,very very good,40.526,"단 하나 뿐인 내 편이 사이코패스 미성숙한 소녀의 혼란을 비교적 잘 보여주고 있었는데, 급진적인 결말이 아쉽다. 주인공의 입장이 너무나 이해되는 스토리 잘 봤어요 스토리가 맘에든다 ㅎㅎ very very good",밉다 성숙하다 소녀 소녀 혼란 입장 밉다 성숙하다 스토리 이해 되다 소녀 혼란 비교 아쉽다 주인공,"소녀, 성숙하다, 혼란, 밉다, 비교"
23023100,65,액션,93 분,12세이상관람가,2023.04.20,스토리가 맘에든다 ㅎㅎ,어.... 할 말을 잃었.. 소재는 좋았는데 아쉬워요ㅠ 공룡 올만!!,불시착한 대멸종 시대를 탈출하기 위한 험난한 여정,영화 잘 봤습니다~~~~,적당히 볼만했어요. 공룡 나오는 장면만큼은 꽤 좋더라구요.,54.556,스토리가 맘에든다 ㅎㅎ 어.... 할 말을 잃었.. 소재는 좋았는데 아쉬워요ㅠ 공룡 올만!! 불시착한 대멸종 시대를 탈출하기 위한 험난한 여정 영화 잘 봤습니다~~~~ 적당히 볼만했어요. 공룡 나오는 장면만큼은 꽤 좋더라구요.,나오다 장면 험난하다 여정 스토리 오다 불시 착하다 시대 탈출 하다 공룡 나오다 험난하다 잃다,"험난하다, 나오다, 잃다, 탈출, 불시"
23023200,여덟 번째 감각,드라마,118 분,15세이상관람가,2023.03.29,배우들 연기가 너무 좋았어요 ㅎㅎ,"멋모르고 봐서 ., .
유치하게 잘봤어요",궁금해서 봤는데 우리나라 bl은 아직 어색하다,예매후 보러가질 못했습니다,요즘 유행하는 전형적인 BL물 스토리... 뭔가 특별한 게 있어야 하는데... 그런 건 없이 뻔하고 전개는 매끄럽지 못함.,38.752,"배우들 연기가 너무 좋았어요 ㅎㅎ 멋모르고 봐서 ., .
유치하게 잘봤어요 궁금해서 봤는데 우리나라 bl은 아직 어색하다 예매후 보러가질 못했습니다 요즘 유행하는 전형적인 BL물 스토리... 뭔가 특별한 게 있어야 하는데... 그런 건 없이 뻔하고 전개는 매끄럽지 못함.",우리나라 요즘 유행 하다 유행 하다 하다 그렇다 보다 우리나라 우리나라 뻔하다 전개 전개 있다 하다,"우리나라, 유행, 전개, 하다, 요즘"
23023300,장기자랑,다큐멘터리,93 분,12세이상관람가,2023.04.05,또 다시 슬퍼지네요.,"감사한 시간이었다. 나에게도 위로가 된 작품.
멋지고 씩씩한 어머님들을 응원합니다!","피해자 프레임을 벗고, 이렇게도 슬퍼할 수 있구나 알려주는 영화였어요. 인간적이고 따뜻하고. 불쌍하다는 시선을 거두고 멋지다는 시선으로 응원하게 됩니다",자녀들을 잃은 슬픔을 극복하시고 연극무대에서 전력을 다하시는 어머님들의 용기있는 모습에서 인생이란 고난속에서도 계속되는 것이라는 배웠습니다. 좀 더 안전한 세상이 되길 바랍니다!,보고나니 마음이 평온하고 행복해지네요,46.158,"또 다시 슬퍼지네요. 감사한 시간이었다. 나에게도 위로가 된 작품.
멋지고 씩씩한 어머님들을 응원합니다! 피해자 프레임을 벗고, 이렇게도 슬퍼할 수 있구나 알려주는 영화였어요. 인간적이고 따뜻하고. 불쌍하다는 시선을 거두고 멋지다는 시선으로 응원하게 됩니다 자녀들을 잃은 슬픔을 극복하시고 연극무대에서 전력을 다하시는 어머님들의 용기있는 모습에서 인생이란 고난속에서도 계속되는 것이라는 배웠습니다. 좀 더 안전한 세상이 되길 바랍니다! 보고나니 마음이 평온하고 행복해지네요",인생 고난 하다 어머님 씩씩하다 어머님 어머님 응원 하다 극복 하다 무대 어머님 불쌍하다 시선 어머님 용다 응원 하다 피해자 전력 하다,"어머님, 응원, 하다, 씩씩하다, 전력"
23023400,존 윅 4,액션,169 분,청소년관람불가,2023.04.12,그냥 최고에요 최고오오오,존윅5도 기다릴게요 오세요,총기 액션의 끝판왕입니다,믿고보는 존윅 꼭 보세연,기대한 맛은 맞는데.. 너무 길다,54.962,그냥 최고에요 최고오오오 존윅5도 기다릴게요 오세요 총기 액션의 끝판왕입니다 믿고보는 존윅 꼭 보세연 기대한 맛은 맞는데.. 너무 길다,총기 액션 오다 총기 액션 끝판 이다 존윅 기다리다 기다리다 오다 보다 기대하다 기대하다 기다리다 존윅 보다 액션,"기다리다, 존윅, 총기, 액션, 기대하다"
23023600,[라이브뷰잉] 노래하는 왕자님 SHINING STAR STAGE-SONG PARADE☆-,공연,90 분,전체관람가,2023.03.26,"훌륭합니다.이시대에필요한영화,꼭다시보고싶내요.",재미있어요 또 해주세요,진짜 진짜 최고의 무대였습니다. 스타리쉬 콰르텟 나이트 평생 사랑해… 다음에도 부탁드립니다. 라뷰 열어주셔서 감사합니다,물리엔진을 어떻게한거지… 라는 생각을 딱 10분만 하고 그 이후로는 기억이 없습니다 저는 노래하는 왕자님들을 알현하고 왔습니다,진짜 너무너무너무 좋았습니다ㅠㅠ 다음에도 라이브뷰잉 열어주세요ㅠㅠㅠ,50.50599999999999,"훌륭합니다.이시대에필요한영화,꼭다시보고싶내요. 재미있어요 또 해주세요 진짜 진짜 최고의 무대였습니다. 스타리쉬 콰르텟 나이트 평생 사랑해… 다음에도 부탁드립니다. 라뷰 열어주셔서 감사합니다 물리엔진을 어떻게한거지… 라는 생각을 딱 10분만 하고 그 이후로는 기억이 없습니다 저는 노래하는 왕자님들을 알현하고 왔습니다 진짜 너무너무너무 좋았습니다ㅠㅠ 다음에도 라이브뷰잉 열어주세요ㅠㅠㅠ",노래 하다 왕자 들다 왕자 들다 알현 열다 감사하다 훌륭하다 시대 필요하다 영화 왕자 들다 다음 부탁드리다 감사하다 물리엔진 이후 기억 시대 필요하다 영화 다시 보고 싶다 시대 필요하다 영화,"왕자, 필요하다, 들다, 시대, 감사하다"
23023700,드림,"드라마, 코미디",125 분,12세이상관람가,2023.04.26,"흔히 노숙자들은 꿈도 희망도 없을거라 생각하게되는데 , 이 영화에서는 그런 노숙자들의 꿈과 희망 그리고 상처 극복이라는 것을 내새워 감동과 웃음을  주는 영화였던것같습니다 ^^",개그코드가 하나도 맞지 않았다,잘봤습니다.잘봤습니다,이것도 배우가 좋아서인지 초반에는 그냥 그랬다가 뒤에 약간 감덩 하고 끝난 영화 근데 약간 초반이 다 예상가는 그런 부분이라 아쉽..,그냥저냥 가볍게 보기 괜찮아요,67.226,"흔히 노숙자들은 꿈도 희망도 없을거라 생각하게되는데 , 이 영화에서는 그런 노숙자들의 꿈과 희망 그리고 상처 극복이라는 것을 내새워 감동과 웃음을  주는 영화였던것같습니다 ^^ 개그코드가 하나도 맞지 않았다 잘봤습니다.잘봤습니다 이것도 배우가 좋아서인지 초반에는 그냥 그랬다가 뒤에 약간 감덩 하고 끝난 영화 근데 약간 초반이 다 예상가는 그런 부분이라 아쉽.. 그냥저냥 가볍게 보기 괜찮아요",생각 하다 되다 영화 그렇다 노숙자 영화 그렇다 영화 노숙자 노숙자 상처 극복 끝나다 영화 감동 흔하다 노숙자,"노숙자, 그렇다, 영화, 흔하다, 상처"
23023800,곰돌이 푸: 피와 꿀,"공포(호러), 스릴러",84 분,청소년관람불가,2023.04.06,나도영화만들수있을거같음,"점수에 마이너스가 있다면 마이너스를 주고 싶을 심정
스토리도 별로고 결말도 별로고 토악질 나옴",아주 그냥 죽여줘요. 심지어 나 혼자 대관한 기분으로 봄,잔혹한 동화책  읽는느낌,"재밌게 봤어요,.,",47.376,"나도영화만들수있을거같음 점수에 마이너스가 있다면 마이너스를 주고 싶을 심정
스토리도 별로고 결말도 별로고 토악질 나옴 아주 그냥 죽여줘요. 심지어 나 혼자 대관한 기분으로 봄 잔혹한 동화책  읽는느낌 재밌게 봤어요,.,",죽여주다 심지어 잔혹하다 동화책 점수 마이너스 대관 기분 기분 잔혹하다 마이너스 주다 동화책 읽다 느낌 심지어 혼자 혼자 대관 별로 토악질,"심지어, 마이너스, 대관, 잔혹하다, 혼자"
23023900,에어,드라마,112 분,15세이상관람가,2023.04.05,오리지널 티켓이 훌륭했던 내용은 예상했던대로였다,아 그랬구나~ 아하 그런일이 있었구나아,적당히 무난하게 잘봤다,배우보는 맛만으로 만족했음!,배우들의 연기가 상댱하다,43.36,오리지널 티켓이 훌륭했던 내용은 예상했던대로였다 아 그랬구나~ 아하 그런일이 있었구나아 적당히 무난하게 잘봤다 배우보는 맛만으로 만족했음! 배우들의 연기가 상댱하다,적당하다 무난 하다 배우 연기 아하 일이 연기 상댱하 리지 티켓 무난 하다 보다 내용 예상 하다 이다 일이 있다 구나 있다 구나 적당하다 리지,"구나, 리지, 일이, 적당하다, 무난"
23024000,라이스보이 슬립스,드라마,117 분,15세이상관람가,2023.04.19,해외 워홀을 잠깐 했었어서 그런지 더 공감되었습니다.,라이스보이 슬립스 울컥했네요 한번쯤 볼만합니다^^,배우님 연기가 짱이에요,필름으로 볼 수 있는 얼마 되지 않는 영화,모든 분들이 영화관에서 보셨으면 좋겠다,54.67,해외 워홀을 잠깐 했었어서 그런지 더 공감되었습니다. 라이스보이 슬립스 울컥했네요 한번쯤 볼만합니다^^ 배우님 연기가 짱이에요 필름으로 볼 수 있는 얼마 되지 않는 영화 모든 분들이 영화관에서 보셨으면 좋겠다,영화관 영화관 보다 영화관 하다 배우 영화 모든 한번 하다 배우 연기 하다 라이스 보이 슬립 않다 영화,"영화관, 슬립, 라이스, 배우, 보이"
23024100,거울 속 외딴 성,"미스터리, 애니메이션, 판타지",116 분,12세이상관람가,2023.04.12,신기하고 잼나는영화,끝이 흐려지고 성우 연기가 조금 아쉬운 느낌  그래도 재밌게 볼 수 있음,시간대 맞는거 찾다 본건데 볼만했음,한창 마음이 힘들고 우울할 때 본 영화인데 확실히 위로가 되었음.. 주인공과 같은 고민을 가진 사람들이 본다면 확실히 위로 받을 수 있음 인생영화 등극,Good movie,46.364,신기하고 잼나는영화 끝이 흐려지고 성우 연기가 조금 아쉬운 느낌  그래도 재밌게 볼 수 있음 시간대 맞는거 찾다 본건데 볼만했음 한창 마음이 힘들고 우울할 때 본 영화인데 확실히 위로가 되었음.. 주인공과 같은 고민을 가진 사람들이 본다면 확실히 위로 받을 수 있음 인생영화 등극 Good movie,영화 확실하다 있다 인생 영화 신기하다 재다 영화 보다 확실하다 인생 영화 되어다 주인공 인생 영화 주인공 주인공 같다 우울하다 영화,"인생, 주인공, 확실하다, 영화, 우울하다"
23024500,보이지 않아,드라마,113 분,12세이상관람가,2023.04.19,"자연,가족,노래,힐링","음악을 가린 드라마, 드라마에 가려진 음악",영화 잘 봤습니다~~~~,상당히 괜찮은 영화. 생각할 거리가 많음.,흘러가는대로..잘 봤습니다!,58.972,"자연,가족,노래,힐링 음악을 가린 드라마, 드라마에 가려진 음악 영화 잘 봤습니다~~~~ 상당히 괜찮은 영화. 생각할 거리가 많음. 흘러가는대로..잘 봤습니다!",드라마 가려진 가리다 드라마 생각 하다 거리 자연 가족 음악 가리다 노래 힐링 가려진 음악 가족 노래 가려진 힐링 음악,"가려진, 가리다, 음악, 힐링, 드라마"
23024600,물안에서,드라마,61 분,12세이상관람가,2023.04.12,"홍상수 감독이래서 봤는데 그냥 그랬습니다
포스터에 김민희 배우 이름이 띄워져있어서 언제 나오나 기다렸는데 왠 목소리만…",좀 뻔한 영회였다고 생각,속물에서 물 속으로,실험은 좀 더 정성껏,자살 영상을 영화로 찍는다는게 충격적이었다.,42.27,"홍상수 감독이래서 봤는데 그냥 그랬습니다
포스터에 김민희 배우 이름이 띄워져있어서 언제 나오나 기다렸는데 왠 목소리만… 좀 뻔한 영회였다고 생각 속물에서 물 속으로 실험은 좀 더 정성껏 자살 영상을 영화로 찍는다는게 충격적이었다.",홍상수 감독 영상 영화로 생각 속물 자살 영상 포스터 김민희 속물 실험 영상 영화로 찍다 홍상수,"속물, 영상, 홍상수, 영화로, 찍다"
23024700,[애니 특별전] 러브 라이브! 더 스쿨 아이돌 무비,애니메이션,100 분,전체관람가,2023.04.06,하...나한테왜이러는거야진짜,그동안 여러 일이 있었지만 지금이 최고!,'러브라이브'시리즈의 '스쿨아이돌'그룹인 '뮤즈'의 마지막 이야기가 잘 들어간 '극장판 애니메이션',몇년만에 다시 극장에서 보는건데 재미있네요,전설을 다시 접하다.,61.272000000000006,하...나한테왜이러는거야진짜 그동안 여러 일이 있었지만 지금이 최고! '러브라이브'시리즈의 '스쿨아이돌'그룹인 '뮤즈'의 마지막 이야기가 잘 들어간 '극장판 애니메이션' 몇년만에 다시 극장에서 보는건데 재미있네요 전설을 다시 접하다.,다시 하다 러브라이브 시리즈 뮤즈 마지막 극장판 애니메이션 전설 다시 들어가다 극장판 시리즈 스쿨 아이돌 시리즈 그룹 뮤즈 다시 극장,"시리즈, 뮤즈, 다시, 극장판, 아이돌"
23024900,[애니 특별전] 러브라이브! 선샤인!! 더 스쿨 아이돌 무비 오버 더 레인보우,애니메이션,100 분,전체관람가,2023.04.13,아쿠아는 계속된다.,누마즈 갔다오고 보면 감회가 새로운 작품.,'아쿠아'의 앞으로의 가능성을 보여준 극장판 애니메이션.,아쿠아! 선~샤인!!,다시봐도 좋았습니다,64.624,아쿠아는 계속된다. 누마즈 갔다오고 보면 감회가 새로운 작품. '아쿠아'의 앞으로의 가능성을 보여준 극장판 애니메이션. 아쿠아! 선~샤인!! 다시봐도 좋았습니다,애니메이션 아쿠아 아쿠아 아쿠아 샤인 아쿠아 아쿠아 계속 되다 작품 아쿠아 아쿠아 새롭다 작품 새롭다 애니메이션,"아쿠아, 새롭다, 애니메이션, 작품, 샤인"
23025100,킬링 로맨스,코미디,107 분,15세이상관람가,2023.04.14,여래의 존나 헤어질결심! 여래이즘 여래바래🖖,독특한 영상미와 스토리~ 독보적이네요^^,C급 영화. 남자사용설명서 감독이래서 기대했었음,너무 재미있게 잘봣습니다,호불호 완전 갈리는 영화 (저에게는 쉽지 않았음ㅋㅋㅋ),42.572,여래의 존나 헤어질결심! 여래이즘 여래바래🖖 독특한 영상미와 스토리~ 독보적이네요^^ C급 영화. 남자사용설명서 감독이래서 기대했었음 너무 재미있게 잘봣습니다 호불호 완전 갈리는 영화 (저에게는 쉽지 않았음ㅋㅋㅋ),독특하다 상미 영화 남자사용설명서 영화 갈리다 영화 남자사용설명서 감독 상미 남자사용설명서 영화 상미 스토리 독보 적다,"남자사용설명서, 상미, 영화, 갈리다, 독보"
23025200,[클소토크] 마리아 칼라스: 세기의 디바,다큐멘터리,160 분,전체관람가,2023.04.05,"생각보단 조금 지루했습니다.
토크 콘서트가 뭔가 해서 가봤는데, 상영 끝나고 PPT를 포함한 설명이 곁들여지는 거였네요.
예상시간보다 10분정도 빨리 끝났고 설명은 재밌게 해주셨",칼라스에게 관심이 있는 이라면 결코 놓칠 수 없는  그녀의 진정성을 들여다 볼 수 있었던 훌륭한 다큐 영화였다고 생각합니다,클소토크로 역시 세기의 디바를 다시한번 만나다,칼라스라는 한시대의 대단한 디바의 목소리를 들을 수 있어 좋았어요,"요즘 아무나 여신이라고 갖다 붙이는데, 마리아 칼라스야 말로 진짜 여신이다. 천상의 목소리로 짧고 굵게 살다간 디바의 인생, 정말 강렳하다!",77.91799999999999,"생각보단 조금 지루했습니다.
토크 콘서트가 뭔가 해서 가봤는데, 상영 끝나고 PPT를 포함한 설명이 곁들여지는 거였네요.
예상시간보다 10분정도 빨리 끝났고 설명은 재밌게 해주셨 칼라스에게 관심이 있는 이라면 결코 놓칠 수 없는  그녀의 진정성을 들여다 볼 수 있었던 훌륭한 다큐 영화였다고 생각합니다 클소토크로 역시 세기의 디바를 다시한번 만나다 칼라스라는 한시대의 대단한 디바의 목소리를 들을 수 있어 좋았어요 요즘 아무나 여신이라고 갖다 붙이는데, 마리아 칼라스야 말로 진짜 여신이다. 천상의 목소리로 짧고 굵게 살다간 디바의 인생, 정말 강렳하다!",여신 천상 그녀 진정 칼라스 관심 천상 목소리 생각 하다 크다 토크 디바 인생 역시 세기 진정 들이다 포함 설명 디바 목소리,"천상, 디바, 목소리, 진정, 토크"
23025300,라스트 필름 쇼,드라마,109 분,전체관람가,2023.04.12,영화를 보고 인도인과 문화에 대해 알게 된 점들이 많아요.,몰래 학교를 빼고 영화를 보러 간 갤럭시 극장에서 영사 기사 파잘을 만나며 친해진 둘은 은밀한 거래를 하게 된다.,위생만 보장되면 인도 요리는 진짜 굿이다,너무 너무 좋았어요,조아조아조아라조아조타,55.498000000000005,영화를 보고 인도인과 문화에 대해 알게 된 점들이 많아요. 몰래 학교를 빼고 영화를 보러 간 갤럭시 극장에서 영사 기사 파잘을 만나며 친해진 둘은 은밀한 거래를 하게 된다. 위생만 보장되면 인도 요리는 진짜 굿이다 너무 너무 좋았어요 조아조아조아라조아조타,인도인 문화 보고 인도인 문화 대해 인도인 은밀 만나다 친해지다 영화 보고 빼다 영화 영화 보다 갤럭시 극장,"인도인, 문화, 보고, 은밀, 친해지다"
